date and time,file size (in kilobytes),build duration (in seconds)
9/2/2016 6:38pm,2.04,0.215
9/2/2016 6:38pm,2.04,0.214
9/2/2016 6:38pm,2.04,0.104
9/2/2016 6:39pm,2.04,0.065
9/2/2016 6:39pm,2.04,0.106
9/2/2016 6:39pm,2.04,0.087
9/2/2016 6:40pm,2.04,0.084
9/2/2016 6:41pm,2.04,0.179
9/2/2016 6:41pm,2.04,0.117
9/2/2016 6:42pm,2.15,0.105
9/2/2016 6:44pm,2.3,0.196
9/2/2016 6:44pm,2.36,0.117
9/2/2016 6:45pm,2.38,0.095
9/2/2016 6:45pm,2.4,0.184
9/2/2016 6:46pm,2.42,0.104
9/2/2016 6:46pm,2.49,0.107
9/2/2016 6:46pm,2.5,0.130
9/2/2016 6:47pm,2.5,0.101
9/2/2016 6:47pm,2.49,0.100
9/2/2016 6:47pm,2.49,0.109
9/2/2016 6:47pm,2.5,0.091
9/2/2016 6:47pm,2.5,0.087
9/2/2016 6:47pm,2.5,0.086
9/2/2016 6:47pm,2.5,0.071
9/2/2016 6:47pm,2.5,0.102
9/2/2016 6:48pm,2.48,0.084
9/2/2016 6:48pm,2.49,0.092
9/2/2016 6:48pm,2.49,0.067
9/2/2016 6:49pm,2.49,0.078
9/2/2016 6:49pm,2.49,0.087
9/2/2016 6:49pm,2.49,0.101
9/2/2016 6:50pm,2.49,0.097
9/2/2016 6:50pm,2.58,0.093
9/2/2016 6:51pm,2.62,0.081
9/2/2016 6:54pm,2.65,0.084
9/2/2016 6:55pm,2.67,0.087
9/2/2016 6:57pm,2.69,0.072
9/2/2016 6:57pm,2.69,0.061
9/2/2016 6:57pm,2.69,0.102
9/2/2016 6:57pm,2.71,0.103
9/2/2016 6:57pm,2.71,0.154
9/2/2016 6:58pm,2.71,0.142
9/2/2016 6:58pm,2.71,0.149
9/2/2016 6:58pm,2.71,0.135
9/2/2016 6:59pm,2.69,0.197
9/2/2016 7:01pm,2.88,0.099
9/2/2016 7:02pm,2.88,0.107
9/2/2016 7:03pm,2.88,0.099
9/2/2016 7:03pm,2.92,0.110
9/2/2016 7:03pm,2.92,0.102
9/2/2016 7:04pm,2.97,0.098
9/2/2016 7:05pm,3.03,0.121
9/2/2016 7:05pm,3.04,0.098
9/2/2016 7:08pm,3.08,0.105
9/2/2016 7:08pm,3.08,0.108
9/2/2016 7:08pm,3.07,0.089
9/2/2016 7:08pm,3.1,0.157
9/2/2016 7:10pm,3.11,0.103
9/2/2016 7:10pm,3.12,0.100
9/2/2016 7:10pm,3.11,0.082
9/2/2016 7:10pm,3.12,0.109
9/2/2016 7:11pm,3.24,0.161
9/2/2016 7:11pm,3.26,0.107
9/2/2016 7:11pm,3.26,0.099
9/2/2016 7:15pm,3.33,0.140
9/2/2016 7:15pm,3.32,0.107
9/2/2016 7:16pm,3.32,0.108
9/2/2016 7:19pm,3.34,0.116
9/2/2016 7:19pm,3.34,0.105
9/2/2016 7:19pm,3.36,0.097
9/2/2016 7:19pm,3.37,0.254
9/2/2016 7:20pm,3.34,0.174
9/2/2016 7:21pm,3.41,0.117
9/2/2016 7:22pm,3.4,0.230
9/2/2016 7:22pm,3.41,0.124
9/2/2016 7:23pm,3.44,0.107
9/2/2016 7:23pm,3.43,0.095
9/2/2016 7:23pm,3.43,0.124
9/2/2016 7:25pm,3.43,0.109
9/2/2016 7:26pm,3.43,0.082
9/2/2016 7:26pm,3.43,0.078
9/2/2016 7:26pm,3.43,0.085
9/2/2016 7:27pm,3.73,0.144
9/2/2016 7:28pm,3.75,0.093
9/2/2016 7:29pm,3.75,0.110
9/2/2016 7:29pm,3.75,0.119
9/2/2016 7:31pm,3.79,0.123
9/2/2016 7:31pm,3.8,0.096
9/2/2016 7:31pm,3.85,0.096
9/2/2016 7:32pm,3.85,0.149
9/2/2016 7:33pm,3.86,0.091
9/2/2016 7:33pm,3.81,0.117
9/2/2016 7:34pm,3.82,0.134
9/2/2016 7:34pm,3.83,0.125
9/2/2016 7:34pm,3.86,0.321
9/2/2016 7:34pm,3.86,0.173
9/2/2016 7:34pm,3.88,0.330
